windSpdKts,gustKts,windVrbDeg,visibilityMtrs,qnh,ws
13,0,0,9999,1019,0
13,0,0,9999,1019,0
12,0,0,9999,1018,0
13,0,0,9999,1018,0
15,0,0,9999,1018,0
15,0,0,9999,1018,0
18,0,0,9999,1018,0
18,0,0,9999,1018,0
17,0,0,9999,1018,0
15,0,0,9999,1018,0
16,0,0,9999,1019,0
15,0,60,9999,1018,0
15,0,0,9999,1019,0
17,0,0,9999,1019,0
15,0,0,9999,1019,0
16,0,0,9999,1020,1
15,0,0,9999,1020,0
16,0,0,9000,1020,0
14,0,0,8000,1020,0
12,0,0,6000,1021,0
17,0,0,7000,1020,1
16,0,0,7000,1020,0
16,26,0,4000,1019,0
13,0,0,8000,1019,0
13,0,0,5000,1018,0
14,0,0,7000,1017,1
15,0,0,5000,1017,1
14,0,0,4500,1017,1
12,0,0,3200,1017,0
13,0,0,7000,1017,0
12,0,0,5000,1017,0
15,0,0,5000,1017,0
12,0,0,4000,1017,0
13,0,0,6000,1017,0
13,0,0,4500,1018,0
13,0,0,4500,1017,1
14,0,0,5000,1017,0
15,25,0,3500,1018,0
16,0,0,2500,1017,0
15,0,0,3500,1016,0
16,0,0,3500,1017,0
17,0,0,8000,1016,0
14,0,0,7000,1016,0
17,0,0,7000,1015,0
15,0,0,7000,1015,0
16,0,0,6000,1015,0
17,0,0,6000,1014,1
18,0,0,6000,1013,0
14,0,0,5000,1013,1
17,0,0,7000,1013,0
15,0,0,9999,1013,0
14,0,0,9999,1012,0
15,0,0,9999,1012,0
12,0,0,9999,1012,0
13,0,0,9999,1013,0
15,0,0,9999,1013,0
16,0,0,9999,1014,0
14,0,0,9999,1014,0
13,0,0,9999,1014,0
14,0,0,9999,1014,0
15,0,0,9999,1014,0
12,0,0,9999,1014,0
12,0,0,9999,1014,0
12,0,0,9999,1014,0
12,0,0,9999,1014,0
11,0,0,9999,1014,0
12,0,0,9999,1014,0
11,0,0,9999,1014,0
12,0,0,9999,1014,0
13,0,0,9999,1014,0
11,0,0,9999,1015,0
12,0,0,9999,1015,0
13,0,0,9999,1015,0
13,0,0,9999,1015,0
14,0,0,9999,1015,0
12,0,0,9999,1016,0
13,0,0,9999,1016,0
12,0,0,9999,1016,0
12,0,0,9999,1016,0
13,0,0,9999,1016,0
14,0,0,9999,1016,0
13,0,0,9999,1016,0
14,0,0,9999,1015,0
13,0,0,9999,1015,0
14,0,0,9000,1016,0
14,0,0,9000,1016,0
14,0,0,8000,1016,0
12,0,0,8000,1017,0
12,0,0,8000,1017,0
11,0,0,8000,1018,0
12,0,0,8000,1018,0
11,0,0,7000,1018,0
11,0,0,7000,1019,0
10,0,0,5000,1019,0
09,0,0,3000,1019,0
09,0,0,3000,1018,0
08,0,0,1600,1017,0
07,0,0,1600,1017,0
06,0,60,1600,1016,0
05,0,80,1600,1016,0
06,0,0,1600,1016,0
07,0,0,1600,1015,0
05,0,60,1600,1015,0
07,0,0,2000,1015,0
04,0,90,2000,1015,0
05,0,60,3000,1015,0
05,0,0,3500,1016,0
05,0,0,4000,1016,0
04,0,0,4000,1016,0
03,0,60,4500,1016,0
03,0,70,5000,1016,0
03,0,0,5000,1016,0
04,0,0,5000,1017,0
06,0,0,5000,1016,0
06,0,0,5000,1016,0
06,0,0,6000,1016,0
06,0,0,6000,1016,0
02,0,0,9000,1016,0
04,0,0,9000,1016,0
06,0,70,9000,1016,0
05,0,90,9000,1016,0
05,0,60,9000,1016,0
07,0,0,9999,1015,0
10,0,0,9999,1016,0
09,0,70,9999,1018,0
09,0,0,9999,1018,0
09,0,0,9999,1019,0
02,0,0,9999,1019,0
03,0,160,9999,1019,0
03,0,100,9999,1019,0
02,0,0,9999,1019,0
02,0,0,9999,1019,0
01,0,0,9999,1019,0
01,0,0,9999,1019,0
04,0,0,9999,1018,0
06,0,0,9999,1018,0
08,0,0,9999,1017,0
06,0,0,9999,1017,0
02,0,0,9999,1015,0
04,0,110,9999,1015,0
04,0,120,9999,1015,0
06,0,80,9999,1015,0
08,0,0,9999,1016,0
11,0,0,9999,1016,0
12,0,0,9999,1016,0
15,0,0,9999,1016,0
12,0,0,9999,1017,0
15,0,0,9999,1017,0
15,0,0,9999,1018,0
11,0,0,9999,1018,0
11,0,0,9999,1018,0
13,0,0,9999,1018,0
11,0,0,9999,1018,0
14,0,0,9999,1018,0
16,0,0,9999,1018,0
16,0,0,9999,1018,0
16,0,0,9999,1018,0
15,0,0,9999,1018,0
19,0,0,9999,1017,0
16,0,0,9999,1017,0
15,0,0,9999,1017,0
13,0,0,9999,1018,0
14,0,0,9000,1018,0
13,0,0,8000,1018,0
13,0,0,8000,1018,0
11,0,0,9999,1019,0
13,0,0,9999,1019,0
11,0,0,9999,1020,0
15,0,0,9999,1020,0
12,0,0,8000,1021,0
12,0,0,8000,1021,0
11,0,0,9999,1021,0
09,0,0,9999,1021,0
12,0,0,9999,1021,0
12,0,0,8000,1021,0
11,0,0,6000,1020,0
10,0,0,5000,1020,0
09,0,0,5000,1020,0
10,0,0,6000,1020,0
10,0,0,6000,1019,0
09,0,0,8000,1019,0
09,0,0,9999,1019,0
10,0,0,8000,1019,0
10,0,0,7000,1019,0
09,0,60,9999,1019,0
05,0,0,9999,1019,0
05,0,0,9999,1019,0
04,0,0,9999,1019,0
05,0,0,9999,1019,0
06,0,80,9999,1019,0
