windSpdKts,gustKts,windVrbDeg,intensity,rain,visibilityMtrs,qnh,ws
03,0,110,0,0,9999,1019,0
02,0,0,0,0,9999,1020,0
02,0,0,0,0,9999,1021,0
02,0,0,0,0,9999,1021,0
03,0,0,0,0,9999,1021,0
04,0,80,0,0,9999,1021,0
03,0,0,0,0,9999,1020,0
02,0,0,0,0,9999,1020,0
01,0,0,0,0,9999,1019,0
01,0,0,0,0,9999,1019,0
03,0,0,0,0,9999,1018,0
07,0,60,0,0,9999,1019,0
08,0,0,0,0,9999,1019,0
08,0,0,0,0,9999,1019,0
09,0,0,0,0,9999,1020,0
09,0,0,0,0,9999,1020,0
08,0,0,0,0,9999,1020,0
09,0,0,0,0,9999,1020,0
09,0,0,0,0,9999,1020,0
10,0,0,0,0,9999,1020,0
10,0,0,0,0,9999,1020,0
10,0,0,0,0,9999,1020,0
10,0,0,0,0,9999,1020,0
10,0,0,0,0,9999,1020,0
13,0,0,0,0,9999,1019,0
13,0,60,0,0,9999,1019,0
13,0,60,0,0,9999,1019,0
11,0,70,0,0,9999,1019,0
12,0,80,0,0,9999,1019,0
15,0,0,0,0,9999,1020,0
15,0,0,0,0,9999,1020,0
16,0,80,0,0,9999,1021,0
14,0,60,0,0,9999,1022,0
15,0,0,0,0,9999,1023,0
13,0,0,0,0,9999,1023,0
13,0,0,0,0,9999,1023,0
11,0,0,0,0,9999,1023,0
13,0,0,0,0,9999,1023,0
10,0,60,0,0,9999,1023,0
09,0,0,0,0,9999,1022,0
06,0,0,0,0,9999,1022,0
07,0,60,0,0,9999,1021,0
01,0,0,0,0,9999,1021,0
01,0,0,0,0,9999,1020,0
02,0,0,0,0,9999,1020,0
02,0,0,0,0,9999,1020,0
02,0,0,0,0,9999,1021,0
02,0,0,0,0,9999,1021,0
04,0,0,0,0,9999,1021,0
04,0,0,0,0,9999,1021,0
01,0,0,0,0,9999,1021,0
02,0,0,0,0,9999,1021,0
02,0,0,0,0,9999,1020,0
06,0,0,0,0,9999,1019,0
07,0,100,0,0,9999,1019,0
07,0,70,0,0,9999,1019,0
06,0,110,0,0,9999,1019,0
07,0,90,0,0,9999,1019,0
07,0,70,0,0,9999,1019,0
08,0,70,0,0,9999,1020,0
05,0,150,0,0,9999,1021,0
05,0,0,0,0,9999,1021,0
04,0,0,0,0,9999,1021,0
04,0,0,0,0,9999,1022,0
03,0,0,0,0,9999,1022,0
02,0,0,0,0,9999,1023,0
02,0,0,0,0,9999,1023,0
03,0,70,0,0,9999,1024,0
01,0,0,0,0,9999,1023,0
02,0,0,0,0,9999,1022,0
02,0,0,0,0,9999,1022,0
02,0,0,0,0,9999,1022,0
01,0,0,0,0,9999,1021,0
01,0,0,0,0,9999,1021,0
03,0,0,0,0,9999,1021,0
01,0,0,0,0,9999,1021,0
03,0,0,0,0,9999,1022,0
01,0,0,0,0,9999,1022,0
04,0,0,0,0,9999,1022,0
05,0,0,0,0,9999,1022,0
06,0,0,0,0,9999,1023,0
08,0,0,0,0,9999,1023,0
07,0,0,0,0,9999,1022,0
08,0,0,0,0,9999,1022,0
09,0,0,0,0,9999,1022,0
08,0,0,0,0,9999,1022,0
11,0,0,0,0,9999,1021,0
11,0,0,0,0,9999,1021,0
12,0,0,0,0,9999,1021,0
11,0,0,0,0,9999,1021,0
13,0,0,0,0,9999,1022,0
11,0,60,0,0,9999,1023,0
10,0,0,0,0,9999,1023,0
09,0,60,0,0,9999,1024,0
09,0,0,0,0,9999,1025,0
10,0,0,0,0,9999,1025,0
10,0,0,0,0,9999,1026,0
10,0,0,0,0,9999,1026,0
10,0,0,0,0,9999,1026,0
08,0,0,0,0,9999,1026,0
08,0,0,0,0,9999,1026,0
08,0,0,0,0,9999,1025,0
09,0,0,0,0,9999,1024,0
08,0,0,0,0,9999,1024,0
09,0,60,0,0,9999,1025,0
10,0,0,0,0,9999,1025,0
10,0,0,0,0,9999,1026,0
11,0,0,0,0,9999,1026,0
11,0,0,0,0,9999,1027,0
12,0,0,0,0,9999,1027,0
10,0,0,0,0,9999,1027,0
12,0,0,0,0,9999,1027,0
10,0,0,0,0,9999,1027,0
11,0,0,0,0,9999,1027,0
12,0,0,0,0,8000,1026,0
11,0,0,0,0,9999,1026,0
12,0,0,0,0,9999,1026,0
10,0,0,0,0,9999,1025,0
09,0,0,0,0,9999,1025,0
10,0,0,0.3,1,9999,1025,0
11,0,0,0.3,1,9999,1025,0
12,0,0,0.3,1,9999,1025,0
10,0,60,0,0,9999,1026,0
09,0,0,0,0,9999,1026,0
09,0,0,0,0,9999,1026,0
08,0,0,0,0,9999,1027,0
11,0,0,0,0,9999,1027,0
11,0,0,0,0,9999,1028,0
10,0,0,0.3,1,8000,1028,0
09,0,0,0.3,1,8000,1028,0
09,0,0,0,0,9000,1028,0
09,0,0,0,0,9999,1028,0
07,0,0,0.3,1,9999,1027,0
07,0,0,0.3,1,9999,1027,0
08,0,0,0.3,1,9999,1026,0
09,0,0,0.3,1,9999,1027,0
09,0,0,0.3,1,9999,1027,0
07,0,0,0.3,1,9999,1027,0
06,0,0,0.3,1,9999,1027,0
07,0,0,0.3,1,7000,1027,0
07,0,0,0.3,1,9999,1027,0
08,0,0,0,0,9999,1027,0
